,artists,genres
232,ALI,"['hip pop', 'neo soul', 'pop', 'r&b', 'urban contemporary']"
233,ALISA UENO,[]
234,ALLBLACK,"['cali rap', 'hyphy', 'k-rap', 'west coast trap']"
235,ALO,['r&b']
236,AMG,[]
237,ANTONIS NTALGKAS,[]
238,AOA,"['k-pop', 'k-pop girl group']"
239,APB,['canadian hip hop']
240,APO Hiking Society,"['classic opm', 'manila sound', 'opm', 'pinoy rock']"
241,ARIANNA BAGAGLINI,[]
242,ARTY,"['big room', 'edm', 'electro house', 'pop edm', 'progressive electro house', 'progressive house', 'progressive trance', 'trance', 'tropical house', 'uplifting trance']"
243,ASIAN KUNG-FU GENERATION,"['anime', 'anime score', 'j-pop', 'j-poprock', 'j-rock', 'japanese emo', 'japanese pop punk', 'otacore']"
244,ATB,"['german dance', 'german techno', 'trance']"
245,ATEEZ,"['k-pop', 'k-pop boy group']"
246,ATL,"['modern rock', 'pop']"
247,ATR Son Son,[]
248,ATaste Of Honey,[]
249,AUGUST 08,"['la pop', 'r&b']"
250,AURORA,['norwegian pop']
251,AViVA,['vapor pop']
252,AWAY,['traprun']
253,AWOLNATION,"['la indie', 'modern alternative rock', 'modern rock', 'pop rock', 'rock', 'stomp pop']"
254,AZ,"['grupera', 'gruperas inmortales', 'nu-cumbia', 'regional mexican']"
255,Aadesh Shrivastava,[]
256,Aage Braarud,[]
257,Aaliyah,"['dance pop', 'hip hop', 'hip pop', 'pop', 'pop rap', 'r&b', 'urban contemporary']"
258,Aalon,[]
259,Aaries,[]
260,Aaron Carter,"['dance pop', 'post-teen pop']"
261,Aaron Copland,"['american modern classical', 'classical', 'early modern classical']"
262,Aaron Hall,"['neo soul', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']"
263,Aaron Kamm and the One Drops,"['reggae rock', 'stl indie']"
264,Aaron Krause,['indiecoustica']
265,Aaron Kwok,"['c-pop', 'cantopop', 'classic cantopop']"
266,Aaron Lansing,['focus']
267,Aaron Lewis,"['alternative metal', 'contemporary country', 'country', 'country road', 'modern country rock', 'outlaw country', 'post-grunge', 'redneck']"
268,Aaron Lohr,[]
269,Aaron May,['underground hip hop']
270,Aaron Neville,"['motown', 'soul']"
